id	draft_loc	value	context	source	verdict	note
136	SUPP S10	275,370; 14,891; AMI 0.708/ARI 0.502; 0.6978; k-matched 0.7878 vs 0.7602; 17/17 median AMI 0.662 (0.367-0.779); Leiden +112.5%, 8x; coverage 0.498; rho -0.34 p 0.18; -41.7% to +93.3%	S10 legend	figS10_clustering.caption.md	traced	
137	SUPP S11	0.38 / 0.261; 12 minutes; 0e27b1a 01:18:59; 1:40:37; 02:59:36; 16:14; 19 minutes; 0.8279; Delta 0.000000	S11 legend	figS11_gatehistory.caption.md	traced	
138	SUPP S12	6954082d; Delta 0.000000; flagless 0.5907 -> 0.7062 / 0.1911 -> 0.1754; Kinnex 0.6081 -> 0.7647; decoy 0.3122 -> 0.1300; 228.4 -> 10.6 GB; 0.0105; n = 44,394/46,524/46,524/62,110 context	S12 legend	figS12_versions.caption.md; 24 Amendment 3	traced	">=5-record" wording used; wall-time non-comparability stated
139	SUPP T7	competitor versions to be read from run logs	placeholder discipline	FIGURES_MANIFEST T7 note	traced	correctly not a number source
140	MAIN R2 (Fig 2) two-truth	15.10% vs 49.50%; 46,524 vs 120,916; 35.5% single class	two-truth hard-FP composite now stated in Results (was Discussion-only)	25 §7 (hard FPs 7,027=15.10% / 59,856=49.50%; intronic-no-hexamer cell 35.5% of FPs) / §8.6 wording	traced	fix pass: moved per review structure item 3; call-budget caveat and >=5-records long-read half carried in-sentence
141	MAIN R2 (Fig 2) matched-N panel	Sierra/scAPAtrap truncated, below PeakATail on both axes at every budget tested; scAPAtrap 19,410-call cap; 787,138 > 333,920 not reachable	matched-N scope extended beyond polyApipe (review M5c)	25 §2.1/§2.2 tables (every matched-N row) + §2.3.2 (cap; not reachable)	traced	fix pass addition; "every budget tested" = every N row of 25 §2.1/§2.2 where both tools have values
142	MAIN Methods read acceptance	13.74% of valid-CB reads excluded (96% spliced); +1.76% clip reads / ~+0.4% recall if relaxed	reference-span vs --seq-len rule disclosed (review M9i)	23 Step 2 (read.py span rule)	traced	fix pass addition; relaxation is roadmap work, ships in no result
143	MAIN Methods benchmark denominator	detection source = lambda_gradient run (PBMC) / own run (pbmc4k, declared deviation); rebuild control 15,271 genes / 288,740 sites vs 14,949 / 285,136 (+1.26%, 99.5% sites shared); bias runs against the arm supplying detection	R_det denominator provenance + sensitivity (review M2)	26 §4 recipe + §"Denominator-construction control" + verifier denominator-swap table	traced	fix pass addition; full tool-independent rebuild (STARsolo/CellRanger matrix) remains a PI decision item
144	MAIN Methods cohort pairs	59 distinct cell-type pairs; 12 single-patient (can never replicate); replicated set spans 47	pair universe defined (review minor 11)	20 §primary (59 pairs) + fig6_cohort sidecar (top 16 of 47; 12 single-patient)	traced	fix pass addition
145	MAIN Methods replication audits	89 PAS removed by patient-collapse (Macrophage-T cell); 2 PAS vetoed where one patient's two libraries called opposite directions	two-library-patient handling (review M9v)	20 §"Two-GSM patients verified to count once"	traced	fix pass addition
146	MAIN Methods spermatogenesis	PDUI = distal/(proximal+distal); proximal/distal = first/last PAS of the gene in transcription order; depth-weighted pseudobulk; >=50 UMI at the PAS pair in every stage; 1,548/1,200 of ~10,500 genes with a pair; marker-panel argmax over Leiden clusters of STARsolo GEX	PDUI pair-selection rule and label recipe (review M6b/M9ii)	fig5_spermatogenesis.caption.md (definitions paragraph)	traced	fix pass addition; the marker panel gene list itself is not in the quotable evidence base - PI decision item
147	MAIN R6 cohort (Fig 6e) caution	2,883 genes / 10,415 combinations / 57.8% own-3'UTR flagged as assignment-dependent; 96.8% / 61.5% and PAS-level statistics assignment-independent	gene-keyed quantities carry the issue-#99 caution (review M7)	20 disclosure 1 (values); caution is a scope statement, no new number	traced	fix pass addition; recompute on non-overlapping-locus subset remains a PI decision item
148	MAIN R5/R6 null-test link	58.9 M library-level null tests vs 2,128,711 patient-level (pair, PAS) hypotheses connected in one sentence	review M3 connecting sentence	20 §null control (58,859,840 over 15 primary libraries; 10 combinations) + §primary (2,128,711 rows into the replication filter)	traced	fix pass addition; no new number
